ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor
000001.SZ,19910404,48.76,48.76,48.76,48.76,49,-0.240000000000002,-0.4898,3,15,1
000001.SZ,19910405,48.52,48.52,48.52,48.52,48.76,-0.23999999999999488,-0.4922,2,10,1
000001.SZ,19910408,48.04,48.04,48.04,48.04,48.52,-0.480000000000004,-0.9893,2,10,1
000001.SZ,19910409,47.8,47.8,47.8,47.8,48.04,-0.240000000000002,-0.4996,4,19,1
000001.SZ,19910410,47.56,47.56,47.56,47.56,47.8,-0.23999999999999488,-0.5021,15,71,1
000001.SZ,19910412,47.08,47.08,47.08,47.08,47.56,-0.480000000000004,-1.0093,8,38,1
000001.SZ,19910416,46.38,46.38,46.38,46.38,47.08,-0.6999999999999957,-1.4868,2,9,1
000001.SZ,19910417,46.15,46.15,46.15,46.15,46.38,-0.23000000000000398,-0.4959,1,5,1
000001.SZ,19910418,45.92,45.92,45.92,45.92,46.15,-0.22999999999999687,-0.4984,4,18,1
000001.SZ,19910419,45.69,45.69,45.69,45.69,45.92,-0.23000000000000398,-0.5009,2,9,1
000001.SZ,19910423,45,45,45,45,45.46,-0.46000000000000085,-1.0119,28,126,1
000001.SZ,19910424,44.78,44.78,44.78,44.78,45,-0.21999999999999886,-0.4889,16,72,1
000001.SZ,19910425,44.56,44.56,44.56,44.56,44.78,-0.21999999999999886,-0.4913,15,67,1
000001.SZ,19910426,44.34,44.34,44.34,44.34,44.56,-0.21999999999999886,-0.4937,8,35,1
000001.SZ,19910429,43.9,43.9,43.9,43.9,44.34,-0.44000000000000483,-0.9923,4,17,1
000001.SZ,19910430,43.68,43.68,43.68,43.68,43.9,-0.21999999999999886,-0.5011,2,9,1
000001.SZ,19910502,43.46,43.46,43.46,43.46,30.99,12.470000000000002,40.2388,2,9,1.409
000001.SZ,19910503,43.24,43.24,43.24,43.24,43.46,-0.21999999999999886,-0.5062,3,13,1.409
000001.SZ,19910507,42.59,42.59,42.59,42.59,43.02,-0.4299999999999997,-0.9995,2,8,1.409
000001.SZ,19910508,42.38,42.38,42.38,42.38,42.59,-0.21000000000000085,-0.4931,109,462,1.409
000001.SZ,19910509,42.17,42.17,42.17,42.17,42.38,-0.21000000000000085,-0.4955,15,63,1.409
000001.SZ,19910510,41.96,41.96,41.96,41.96,42.17,-0.21000000000000085,-0.498,20,84,1.409
000001.SZ,19910513,41.54,41.54,41.54,41.54,41.96,-0.4200000000000017,-1.001,19,79,1.409
000001.SZ,19910514,41.33,41.33,41.33,41.33,41.54,-0.21000000000000085,-0.5055,55,227,1.409
000001.SZ,19910515,41.12,41.12,41.12,41.12,41.33,-0.21000000000000085,-0.5081,387,1591,1.409
000001.SZ,19910516,40.91,40.91,40.91,40.91,41.12,-0.21000000000000085,-0.5107,493,2017,1.409
